datetime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2
2006-12-16 18:00:00,217.93200000000002,4.801999999999998,14074.81,936.0,0.0,403.0
2006-12-16 19:00:00,204.014,5.1140000000000025,13993.949999999999,870.1999999999994,0.0,86.0
2006-12-16 20:00:00,196.11399999999998,4.505999999999999,14044.289999999997,835.0000000000002,0.0,0.0
2006-12-16 21:00:00,183.388,4.6000000000000005,14229.519999999999,782.7999999999998,0.0,25.0
2006-12-16 22:00:00,132.00800000000004,3.3700000000000006,14325.599999999999,571.4000000000003,0.0,8.0
2006-12-16 23:00:00,123.69600000000001,4.286000000000001,14437.179999999995,533.7999999999998,0.0,5.0
2006-12-17 00:00:00,112.94800000000005,6.145999999999999,14457.71,487.59999999999997,0.0,28.0
2006-12-17 01:00:00,200.96400000000003,8.215999999999998,14426.899999999998,854.8000000000002,0.0,1514.0
2006-12-17 02:00:00,95.236,4.694,14749.120000000003,412.20000000000016,0.0,34.0
2006-12-17 03:00:00,99.73200000000001,4.7719999999999985,14670.81,432.40000000000015,0.0,46.0
2006-12-17 04:00:00,132.94599999999997,5.607999999999999,14631.33,559.9999999999998,0.0,34.0
2006-12-17 05:00:00,119.80400000000003,3.6140000000000003,14622.609999999995,514.0,0.0,10.0
2006-12-17 06:00:00,78.198,5.689999999999999,14648.49,331.8000000000001,0.0,43.0
2006-12-17 07:00:00,97.20200000000003,3.588,14510.74,408.19999999999993,0.0,10.0
2006-12-17 08:00:00,113.43400000000004,7.114,14478.690000000002,482.9999999999999,0.0,45.0
2006-12-17 09:00:00,152.94400000000002,4.7540000000000004,14330.870000000003,658.4000000000002,0.0,439.0
2006-12-17 10:00:00,217.734,11.675999999999998,14126.459999999997,932.0000000000003,533.0,1341.0
2006-12-17 11:00:00,148.26000000000002,12.042000000000002,14215.480000000001,629.6000000000005,567.0,301.0
2006-12-17 12:00:00,114.95199999999998,17.642,14267.079999999994,488.19999999999953,0.0,32.0
2006-12-17 13:00:00,99.64600000000002,10.291999999999998,14395.239999999998,415.4000000000001,0.0,3.0
2006-12-17 14:00:00,125.55799999999999,15.444,14642.739999999998,516.0000000000003,0.0,20.0
2006-12-17 15:00:00,179.12400000000005,5.316000000000001,14428.85,745.5999999999999,418.0,12.0
2006-12-17 16:00:00,199.56200000000004,5.587999999999998,14206.909999999996,840.3999999999993,515.0,4.0
2006-12-17 17:00:00,204.40600000000006,9.998,14053.79,870.5999999999998,0.0,28.0
2006-12-17 18:00:00,221.82599999999994,8.104000000000001,14062.339999999995,945.0,0.0,0.0
2006-12-17 19:00:00,174.50400000000002,15.909999999999998,13991.74,751.0000000000001,0.0,31.0
2006-12-17 20:00:00,201.69,16.29,14185.589999999998,856.5999999999999,0.0,67.0
2006-12-17 21:00:00,182.44599999999997,16.078,14346.250000000002,762.9999999999998,0.0,72.0
2006-12-17 22:00:00,91.08,14.122,14531.539999999999,383.00000000000006,0.0,25.0
2006-12-17 23:00:00,26.26400000000001,13.308000000000002,14744.039999999999,119.80000000000008,0.0,48.0
2006-12-18 00:00:00,16.582,5.944,14676.449999999999,73.39999999999996,0.0,2.0
2006-12-18 01:00:00,18.797999999999995,9.114000000000003,14611.160000000003,84.99999999999999,0.0,35.0
2006-12-18 02:00:00,17.06799999999999,6.544,14813.46,75.40000000000002,0.0,0.0
2006-12-18 03:00:00,18.59600000000001,8.866000000000001,14743.909999999998,83.99999999999993,0.0,34.0
2006-12-18 04:00:00,61.58,4.800000000000001,14730.42,250.5999999999999,0.0,4.0
2006-12-18 05:00:00,17.61,7.315999999999999,14715.190000000004,77.59999999999998,0.0,28.0
2006-12-18 06:00:00,36.6,6.774,14742.260000000002,155.99999999999994,0.0,5.0
2006-12-18 07:00:00,147.02599999999998,9.18,14457.740000000007,613.2,5.0,27.0
2006-12-18 08:00:00,124.928,4.4239999999999995,14272.820000000003,523.5999999999997,748.0,2.0
2006-12-18 09:00:00,97.76000000000003,5.1099999999999985,14244.28,408.9999999999997,310.0,29.0
2006-12-18 10:00:00,78.57800000000002,3.1700000000000004,14344.830000000002,325.5999999999999,0.0,0.0
2006-12-18 11:00:00,93.716,7.6400000000000015,14386.259999999998,388.1999999999998,0.0,31.0
2006-12-18 12:00:00,105.36399999999999,5.237999999999999,14554.799999999997,434.8000000000003,0.0,0.0
2006-12-18 13:00:00,100.92399999999998,7.589999999999998,14517.249999999995,416.3999999999998,0.0,32.0
2006-12-18 14:00:00,103.98199999999997,2.958,14531.790000000003,425.8,0.0,0.0
