Date,Open,High,Low,Close,Adj Close,Volume
2021-10-05,160.225006,163.036499,160.123001,161.050003,161.050003,65384000
2021-10-06,160.676498,163.216995,159.931000,163.100494,163.100494,50660000
2021-10-07,164.576996,166.287506,164.153000,165.121506,165.121506,48182000
2021-10-08,165.850006,166.071503,164.410004,164.431000,164.431000,39964000
2021-10-11,163.750000,164.629501,161.904999,162.315002,162.315002,40684000
2021-10-12,162.850006,163.376495,161.813995,162.366501,162.366501,36392000
2021-10-13,163.485504,164.419006,163.054504,164.214005,164.214005,48402000
2021-10-14,165.122498,165.630005,164.539001,164.992996,164.992996,42190000
2021-10-15,165.570999,170.520996,165.199997,170.451004,170.451004,103598000
2021-10-18,169.417999,172.458496,169.255005,172.337006,172.337006,63482000
2021-10-19,171.714493,172.734497,171.100006,172.207504,172.207504,47722000
2021-10-20,172.632996,173.143005,170.018494,170.753006,170.753006,42796000
2021-10-21,170.712494,172.014008,170.149994,171.750504,171.750504,37628000
2021-10-22,171.050003,171.492004,166.565002,166.777496,166.777496,62782000
2021-10-25,166.750000,167.389999,164.884995,166.018494,166.018494,44520000
2021-10-26,167.475494,170.806000,167.199005,168.803497,168.803497,53966000
2021-10-27,169.399994,171.850006,168.572495,169.624496,169.624496,54044000
2021-10-28,170.104996,173.949997,169.300003,172.328506,172.328506,114174000
2021-10-29,165.001007,168.740997,163.666000,168.621506,168.621506,129722000
2021-11-01,168.089996,168.792999,164.600998,165.905502,165.905502,72178000
2021-11-02,165.750504,166.556000,164.177505,165.637497,165.637497,52552000
2021-11-03,165.449997,169.746002,164.876007,169.199997,169.199997,67944000
2021-11-04,168.500000,174.931503,168.250000,173.850006,173.850006,107060000
2021-11-05,173.850006,178.312500,173.848999,175.949493,175.949493,99940000
2021-11-08,176.162003,178.949997,174.393005,174.449005,174.449005,61480000
2021-11-09,175.762497,179.688507,175.071503,178.811493,178.811493,85898000
2021-11-10,178.193497,180.272507,173.154495,174.102493,174.102493,80548000
2021-11-11,175.649994,177.162003,173.373505,173.625000,173.625000,45288000
2021-11-12,174.250000,177.036499,172.352493,176.257507,176.257507,53788000
2021-11-15,176.850006,179.694000,176.290497,177.283997,177.283997,58594000
2021-11-16,176.949997,178.824997,176.257507,177.035004,177.035004,44342000
2021-11-17,178.235992,179.362503,177.267502,177.449997,177.449997,51206000
2021-11-18,178.317505,185.210007,178.050003,184.802994,184.802994,114070000
2021-11-19,185.634506,188.107498,183.785995,183.828506,183.828506,98734000
2021-11-22,183.819000,185.673004,178.375000,178.628494,178.628494,96844000
2021-11-23,179.251999,181.052505,176.385498,179.001999,179.001999,73804000
2021-11-24,178.133499,180.682007,176.842499,179.020493,179.020493,46560000
2021-11-26,180.104996,181.675003,175.207504,175.227997,175.227997,59826000
2021-11-29,177.382004,179.800003,176.574997,178.078506,178.078506,65312000
2021-11-30,178.175003,179.288498,174.600494,175.353500,175.353500,80022000
2021-12-01,177.250000,177.994003,172.080002,172.186005,172.186005,74916000
2021-12-02,173.000000,174.634995,171.187500,171.867996,171.867996,64726000
2021-12-03,172.750000,173.493500,166.929993,169.489502,169.489502,80712000
2021-12-06,169.649994,173.695496,166.934494,171.368500,171.368500,68860000
2021-12-07,174.600006,177.499496,173.334503,176.164505,176.164505,66410000
2021-12-08,176.150497,177.179993,174.750504,176.158005,176.158005,45254000
2021-12-09,175.750000,176.969498,174.139496,174.171005,174.171005,46062000
2021-12-10,175.417007,175.927002,170.500000,172.212006,172.212006,60690000
2021-12-13,172.000000,172.100006,169.130005,169.567505,169.567505,62170000
2021-12-14,167.550003,169.498993,166.440002,169.091507,169.091507,55976000
2021-12-15,168.598007,173.600006,165.195007,173.315002,173.315002,75794000
2021-12-16,173.368500,174.166000,168.160507,168.871002,168.871002,60876000
2021-12-17,167.710495,170.898499,165.613495,170.017502,170.017502,85542000
2021-12-20,166.850006,167.874496,165.600006,167.078995,167.078995,57372000
2021-12-21,167.850494,170.716507,165.647507,170.417007,170.417007,55956000
2021-12-22,169.270004,172.050003,168.500504,171.037003,171.037003,55036000
2021-12-23,170.427994,171.975006,170.149994,171.068497,171.068497,36788000
2021-12-27,171.037003,172.942993,169.215500,169.669495,169.669495,58688000
2021-12-28,170.182495,172.175995,169.135498,170.660995,170.660995,54638000
2021-12-29,170.839996,171.212006,168.600494,169.201004,169.201004,35754000
2021-12-30,169.699997,170.888000,168.524002,168.644501,168.644501,37584000
2021-12-31,168.955994,169.350006,166.558502,166.716995,166.716995,47830000
2022-01-03,167.550003,170.703506,166.160507,170.404495,170.404495,63520000
2022-01-04,170.438004,171.399994,166.349503,167.522003,167.522003,70726000
2022-01-05,166.882996,167.126495,164.356995,164.356995,164.356995,64302000
2022-01-06,163.450500,164.800003,161.936996,163.253998,163.253998,51958000
2022-01-07,163.839005,165.243500,162.031006,162.554001,162.554001,46606000
2022-01-10,160.585495,161.661499,156.304504,161.485992,161.485992,87798000
2022-01-11,161.500000,166.350006,160.701508,165.362000,165.362000,62806000
2022-01-12,166.574997,166.878006,164.417007,165.207001,165.207001,50030000
2022-01-13,165.250504,166.221497,161.091003,161.214005,161.214005,52188000
2022-01-14,160.149994,162.250000,159.800507,162.138000,162.138000,45974000
2022-01-18,159.104996,159.734497,157.664505,158.917496,158.917496,67292000
2022-01-19,158.761993,159.250000,156.250000,156.298996,156.298996,53242000
2022-01-20,156.766006,158.000000,151.350998,151.667496,151.667496,71974000
2022-01-21,149.949997,150.899994,142.070496,142.643005,142.643005,163972000
2022-01-24,139.000000,144.945007,135.352005,144.544006,144.544006,155624000
2022-01-25,142.242493,143.600006,138.145004,139.985992,139.985992,90824000
2022-01-26,144.750000,145.184998,137.318497,138.872498,138.872498,95602000
2022-01-27,140.800003,144.243500,139.350006,139.637497,139.637497,77516000
2022-01-28,140.860504,143.998001,137.929504,143.977997,143.977997,74392000
2022-01-31,144.750000,150.360504,144.300507,149.573502,149.573502,78308000
2022-02-01,150.000000,151.707993,147.627502,151.193497,151.193497,59220000
2022-02-02,155.050507,155.074997,148.863495,150.612503,150.612503,87330000
2022-02-03,141.737503,144.247498,138.332993,138.845505,138.845505,225532000
2022-02-04,155.606506,161.199997,150.608002,157.639496,157.639496,253456000
2022-02-07,158.520004,162.690994,157.250000,157.935501,157.935501,102624000
2022-02-08,156.750504,161.792496,155.550507,161.413498,161.413498,76040000
2022-02-09,162.873505,163.834503,160.250000,161.189499,161.189499,68786000
2022-02-10,158.350006,160.716507,157.750000,159.003494,159.003494,68268000
2022-02-11,158.134506,159.000000,152.733994,153.293503,153.293503,77100000
2022-02-14,151.751007,158.448502,151.649994,155.167007,155.167007,83230000
2022-02-15,157.605499,158.007004,154.637497,156.510498,156.510498,56440000
2022-02-16,155.790497,158.834000,154.734497,158.100494,158.100494,52704000
2022-02-17,158.145996,160.348999,154.500000,154.652496,154.652496,64032000
2022-02-18,155.499496,155.499496,150.893005,152.601501,152.601501,63604000
2022-02-22,150.478500,152.982498,148.485504,150.197495,150.197495,66128000
2022-02-23,151.650497,151.763000,144.651001,144.826996,144.826996,64244000
2022-02-24,139.837494,151.748993,139.500000,151.358002,151.358002,100786000
2022-02-25,150.550003,153.990005,149.213501,153.788498,153.788498,62396000
2022-02-28,152.425003,154.449997,150.850006,153.563004,153.563004,57684000
2022-03-01,152.732498,154.098999,149.977005,151.141998,151.141998,44874000
2022-03-02,150.848999,152.999496,148.750000,152.052505,152.052505,47334000
2022-03-03,153.531494,153.929001,146.856003,147.898499,147.898499,65198000
2022-03-04,147.158997,147.850006,143.807007,145.641006,145.641006,60934000
2022-03-07,145.443497,146.094498,137.416504,137.453003,137.453003,86934000
2022-03-08,136.683502,140.699493,133.572495,136.014496,136.014496,91662000
2022-03-09,139.500000,140.250000,136.828003,139.279007,139.279007,82656000
2022-03-10,145.684998,148.674500,143.977997,146.817505,146.817505,135062000
2022-03-11,149.574493,149.675003,145.369003,145.524506,145.524506,68900000
2022-03-14,145.981003,147.449997,140.884003,141.852997,141.852997,74086000
2022-03-15,142.850006,147.985001,142.000000,147.366501,147.366501,75584000
2022-03-16,148.500000,153.149994,147.353500,153.104004,153.104004,84958000
2022-03-17,152.640503,157.498505,152.139999,157.238998,157.238998,72934000
2022-03-18,156.813004,161.593994,156.011002,161.250504,161.250504,102962000
2022-03-21,161.121002,163.084000,159.552994,161.491501,161.491501,66538000
2022-03-22,161.805496,166.167007,161.699005,164.889008,164.889008,64086000
2022-03-23,163.705002,166.369995,162.686996,163.408005,163.408005,55812000
2022-03-24,163.749496,164.118500,160.050003,163.649506,163.649506,56798000
2022-03-25,164.000000,165.368500,162.250000,164.773499,164.773499,49032000
2022-03-28,164.975006,169.037506,164.899994,168.990494,168.990494,59854000
2022-03-29,170.384003,170.831497,167.868500,169.315002,169.315002,66154000
2022-03-30,168.509506,168.950500,165.500000,166.300995,166.300995,56168000
2022-03-31,166.445007,166.494995,162.953506,162.997498,162.997498,59966000
2022-04-01,164.149506,165.826996,162.319504,163.559998,163.559998,57090000
2022-04-04,164.125000,168.394501,163.205505,168.346497,168.346497,49882000
2022-04-05,167.741501,168.110504,163.266006,164.054993,164.054993,53728000
2022-04-06,161.650497,162.199997,157.254501,158.755997,158.755997,79056000
2022-04-07,158.399994,160.078995,154.511505,157.784500,157.784500,68136000
2022-04-08,156.750000,157.368500,154.231003,154.460495,154.460495,46002000
2022-04-11,152.712997,154.136505,150.534500,151.121994,151.121994,52112000
2022-04-12,153.692505,155.098999,150.382996,150.787506,150.787506,55178000
2022-04-13,150.018494,156.024994,149.600006,155.541000,155.541000,53390000
2022-04-14,155.389999,155.897003,151.472000,151.706497,151.706497,51598000
2022-04-18,151.523499,154.039505,150.250504,152.785004,152.785004,46514000
2022-04-19,152.029495,158.649002,151.550507,158.115494,158.115494,54926000
2022-04-20,157.602493,157.602493,153.603500,153.998001,153.998001,59630000
2022-04-21,154.714005,156.738007,147.589493,148.296005,148.296005,63970000
2022-04-22,148.250000,149.615005,143.697495,144.350006,144.350006,73078000
2022-04-25,144.022995,146.221497,142.306503,146.074005,146.074005,61874000
2022-04-26,144.800003,144.856003,138.929504,139.391006,139.391006,77530000
2022-04-27,140.191498,141.948502,135.783493,138.167007,138.167007,71336000
2022-04-28,142.177994,145.937500,140.300003,144.596497,144.596497,117316000
2022-04-29,129.848999,130.761002,121.625000,124.281502,124.281502,272662000
2022-05-02,122.401001,124.667999,118.375000,124.500000,124.500000,148788000
2022-05-03,124.053497,126.220497,122.824997,124.253502,124.253502,79134000
2022-05-04,123.599998,126.000000,119.182999,125.928497,125.928497,110746000
2022-05-05,123.000000,123.499001,115.072502,116.406998,116.406998,144392000
2022-05-06,114.849998,119.050499,113.081497,114.772499,114.772499,124260000
2022-05-09,111.312500,114.000000,107.957001,108.789001,108.789001,128124000
2022-05-10,111.250000,112.642502,107.170998,108.859001,108.859001,105434000
2022-05-11,108.103500,110.155998,104.428497,105.372002,105.372002,109704000
2022-05-12,102.750000,110.780502,102.405502,106.930496,106.930496,132026000
