id,parts_id,date,volume
1,2674,1/1/1998,0
2,2674,2/1/1998,0
3,2674,3/1/1998,0
4,2674,4/1/1998,0
5,2674,5/1/1998,2
6,2674,6/1/1998,4
7,2674,7/1/1998,4
8,2674,8/1/1998,1
9,2674,9/1/1998,4
10,2674,10/1/1998,5
11,2674,11/1/1998,4
12,2674,12/1/1998,6
13,2674,1/1/1999,2
14,2674,2/1/1999,3
15,2674,3/1/1999,6
16,2674,4/1/1999,1
17,2674,5/1/1999,3
18,2674,6/1/1999,2
19,2674,7/1/1999,2
20,2674,8/1/1999,0
21,2674,9/1/1999,5
22,2674,10/1/1999,3
23,2674,11/1/1999,1
24,2674,12/1/1999,3
25,2674,1/1/2000,4
26,2674,2/1/2000,3
27,2674,3/1/2000,0
28,2674,4/1/2000,1
29,2674,5/1/2000,1
30,2674,6/1/2000,1
31,2674,7/1/2000,1
32,2674,8/1/2000,0
33,2674,9/1/2000,0
34,2674,10/1/2000,1
35,2674,11/1/2000,2
36,2674,12/1/2000,0
37,2674,1/1/2001,2
38,2674,2/1/2001,3
39,2674,3/1/2001,0
40,2674,4/1/2001,0
41,2674,5/1/2001,1
42,2674,6/1/2001,1
43,2674,7/1/2001,0
44,2674,8/1/2001,1
45,2674,9/1/2001,0
46,2674,10/1/2001,0
47,2674,11/1/2001,2
48,2674,12/1/2001,2
49,2674,1/1/2002,0
50,2674,2/1/2002,1
51,2674,3/1/2002,1
53,2673,1/1/1998,0
54,2673,2/1/1998,0
55,2673,3/1/1998,0
56,2673,4/1/1998,2
57,2673,5/1/1998,1
58,2673,6/1/1998,0
59,2673,7/1/1998,2
60,2673,8/1/1998,4
61,2673,9/1/1998,2
62,2673,10/1/1998,2
63,2673,11/1/1998,3
64,2673,12/1/1998,0
65,2673,1/1/1999,2
66,2673,2/1/1999,2
67,2673,3/1/1999,5
68,2673,4/1/1999,5
69,2673,5/1/1999,1
70,2673,6/1/1999,3
71,2673,7/1/1999,4
72,2673,8/1/1999,4
73,2673,9/1/1999,5
74,2673,10/1/1999,0
75,2673,11/1/1999,1
76,2673,12/1/1999,3
77,2673,1/1/2000,1
78,2673,2/1/2000,0
79,2673,3/1/2000,1
80,2673,4/1/2000,4
81,2673,5/1/2000,3
82,2673,6/1/2000,3
83,2673,7/1/2000,0
84,2673,8/1/2000,0
85,2673,9/1/2000,1
86,2673,10/1/2000,2
87,2673,11/1/2000,1
88,2673,12/1/2000,0
89,2673,1/1/2001,1
90,2673,2/1/2001,1
91,2673,3/1/2001,0
92,2673,4/1/2001,0
93,2673,5/1/2001,4
94,2673,6/1/2001,0
95,2673,7/1/2001,0
96,2673,8/1/2001,4
97,2673,9/1/2001,0
98,2673,10/1/2001,1
99,2673,11/1/2001,2
100,2673,12/1/2001,2
101,2673,1/1/2002,3
102,2673,2/1/2002,1
103,2673,3/1/2002,3
104,2672,1/1/1998,11
105,2672,2/1/1998,2
106,2672,3/1/1998,0
107,2672,4/1/1998,2
108,2672,5/1/1998,12
109,2672,6/1/1998,0
110,2672,7/1/1998,0
111,2672,8/1/1998,4
112,2672,9/1/1998,2
113,2672,10/1/1998,0
114,2672,11/1/1998,0
115,2672,12/1/1998,0
116,2672,1/1/1999,0
117,2672,2/1/1999,0
118,2672,3/1/1999,0
119,2672,4/1/1999,6
120,2672,5/1/1999,5
121,2672,6/1/1999,1
122,2672,7/1/1999,0
123,2672,8/1/1999,4
124,2672,9/1/1999,2
125,2672,10/1/1999,0
126,2672,11/1/1999,4
127,2672,12/1/1999,4
128,2672,1/1/2000,2
129,2672,2/1/2000,0
130,2672,3/1/2000,1
131,2672,4/1/2000,2
132,2672,5/1/2000,6
133,2672,6/1/2000,2
134,2672,7/1/2000,0
135,2672,8/1/2000,0
136,2672,9/1/2000,0
137,2672,10/1/2000,0
138,2672,11/1/2000,0
139,2672,12/1/2000,0
140,2672,1/1/2001,0
141,2672,2/1/2001,6
142,2672,3/1/2001,0
143,2672,4/1/2001,0
144,2672,5/1/2001,4
145,2672,6/1/2001,0
146,2672,7/1/2001,0
147,2672,8/1/2001,0
148,2672,9/1/2001,0
149,2672,10/1/2001,1
150,2672,11/1/2001,1
151,2672,12/1/2001,2
152,2672,1/1/2002,1
153,2672,2/1/2002,2
154,2672,3/1/2002,0
155,2671,1/1/1998,6
156,2671,2/1/1998,5
157,2671,3/1/1998,5
158,2671,4/1/1998,3
159,2671,5/1/1998,5
160,2671,6/1/1998,0
161,2671,7/1/1998,2
162,2671,8/1/1998,1
163,2671,9/1/1998,3
164,2671,10/1/1998,0
165,2671,11/1/1998,1
166,2671,12/1/1998,7
167,2671,1/1/1999,4
168,2671,2/1/1999,3
169,2671,3/1/1999,3
170,2671,4/1/1999,1
171,2671,5/1/1999,3
172,2671,6/1/1999,2
173,2671,7/1/1999,2
174,2671,8/1/1999,2
175,2671,9/1/1999,0
176,2671,10/1/1999,2
177,2671,11/1/1999,2
178,2671,12/1/1999,2
179,2671,1/1/2000,2
180,2671,2/1/2000,1
181,2671,3/1/2000,3
182,2671,4/1/2000,0
183,2671,5/1/2000,1
184,2671,6/1/2000,3
185,2671,7/1/2000,0
186,2671,8/1/2000,1
187,2671,9/1/2000,2
188,2671,10/1/2000,3
189,2671,11/1/2000,1
190,2671,12/1/2000,0
191,2671,1/1/2001,1
192,2671,2/1/2001,1
193,2671,3/1/2001,3
194,2671,4/1/2001,2
195,2671,5/1/2001,0
196,2671,6/1/2001,0
197,2671,7/1/2001,0
198,2671,8/1/2001,0
199,2671,9/1/2001,0
200,2671,10/1/2001,0
201,2671,11/1/2001,0
202,2671,12/1/2001,0
203,2671,1/1/2002,0
204,2671,2/1/2002,1
205,2671,3/1/2002,0
206,2670,1/1/1998,6
207,2670,2/1/1998,6
208,2670,3/1/1998,5
209,2670,4/1/1998,0
210,2670,5/1/1998,2
211,2670,6/1/1998,1
212,2670,7/1/1998,3
213,2670,8/1/1998,1
214,2670,9/1/1998,5
215,2670,10/1/1998,5
216,2670,11/1/1998,0
217,2670,12/1/1998,2
218,2670,1/1/1999,1
219,2670,2/1/1999,3
220,2670,3/1/1999,1
221,2670,4/1/1999,6
222,2670,5/1/1999,4
223,2670,6/1/1999,3
224,2670,7/1/1999,0
225,2670,8/1/1999,1
226,2670,9/1/1999,2
227,2670,10/1/1999,5
228,2670,11/1/1999,0
229,2670,12/1/1999,1
230,2670,1/1/2000,1
231,2670,2/1/2000,1
232,2670,3/1/2000,3
233,2670,4/1/2000,0
234,2670,5/1/2000,0
235,2670,6/1/2000,0
236,2670,7/1/2000,3
237,2670,8/1/2000,1
238,2670,9/1/2000,1
239,2670,10/1/2000,2
240,2670,11/1/2000,1
241,2670,12/1/2000,0
242,2670,1/1/2001,0
243,2670,2/1/2001,4
244,2670,3/1/2001,0
245,2670,4/1/2001,0
246,2670,5/1/2001,0
247,2670,6/1/2001,1
248,2670,7/1/2001,0
249,2670,8/1/2001,1
250,2670,9/1/2001,0
251,2670,10/1/2001,2
252,2670,11/1/2001,0
253,2670,12/1/2001,1
254,2670,1/1/2002,0
255,2670,2/1/2002,3
256,2670,3/1/2002,0
257,2669,1/1/1998,4
258,2669,2/1/1998,4
259,2669,3/1/1998,4
260,2669,4/1/1998,2
261,2669,5/1/1998,4
262,2669,6/1/1998,2
263,2669,7/1/1998,7
264,2669,8/1/1998,4
265,2669,9/1/1998,0
266,2669,10/1/1998,5
267,2669,11/1/1998,3
268,2669,12/1/1998,1
269,2669,1/1/1999,5
270,2669,2/1/1999,1
271,2669,3/1/1999,7
272,2669,4/1/1999,1
273,2669,5/1/1999,2
274,2669,6/1/1999,2
275,2669,7/1/1999,4
276,2669,8/1/1999,5
277,2669,9/1/1999,2
278,2669,10/1/1999,0
279,2669,11/1/1999,1
280,2669,12/1/1999,0
281,2669,1/1/2000,3
282,2669,2/1/2000,1
283,2669,3/1/2000,3
284,2669,4/1/2000,2
285,2669,5/1/2000,2
286,2669,6/1/2000,0
287,2669,7/1/2000,2
288,2669,8/1/2000,0
289,2669,9/1/2000,2
290,2669,10/1/2000,0
291,2669,11/1/2000,1
292,2669,12/1/2000,0
